iata,name,city,state,country,lat,long,dst,tz,utc_offset
0O3,Calaveras Co-Maury Rasmussen ,San Andreas,CA,USA,38.14611639,-120.6481733,,America/Los_Angeles,-7.0
0O4,Corning Municipal,Corning,CA,USA,39.94376806,-122.1713781,,America/Los_Angeles,-7.0
0O5,University,Davis,CA,USA,38.53146222,-121.7864906,,America/Los_Angeles,-7.0
0Q5,Shelter Cove,Shelter Cove,CA,USA,40.02764333,-124.0733639,,America/Los_Angeles,-7.0
0Q6,Shingletown,Shingletown,CA,USA,40.52210111,-121.8177683,,America/Los_Angeles,-7.0
1O2,Lampson ,Lakeport,CA,USA,38.99017472,-122.8997175,,America/Los_Angeles,-7.0
1O3,Lodi,Lodi,CA,USA,38.20241667,-121.26841670000002,,America/Los_Angeles,-7.0
1O6,Dunsmuir Municipal-Mott,Dunsmuir,CA,USA,41.26320889,-122.2719528,,America/Los_Angeles,-7.0
2O1,Gansner ,Quincy,CA,USA,39.94378056,-120.9468983,,America/Los_Angeles,-7.0
2O3,Angwin-Parrett ,Angwin,CA,USA,38.57851778,-122.4352572,,America/Los_Angeles,-7.0
2O6,Chowchilla,Chowchilla,CA,USA,37.11244417,-120.2468406,,America/Los_Angeles,-7.0
2O7,Independence,Independence,CA,USA,36.81382111,-118.2050956,,America/Los_Angeles,-7.0
2Q3,Yolo Co-Davis/Woodland/Winters,Davis/Woodland/Winters,CA,USA,38.5790725,-121.8566322,,America/Los_Angeles,-7.0
36S,Happy Camp,Happy Camp,CA,USA,41.79067944,-123.3889444,,America/Los_Angeles,-7.0
3O1,Gustine,Gustine,CA,USA,37.26271722,-120.9632586,,America/Los_Angeles,-7.0
3O7,Hollister Municipal,Hollister,CA,USA,36.89334528,-121.4102706,,America/Los_Angeles,-7.0
49X,Chemehuevi Valley,Chemehuevi Valley,CA,USA,34.52751083,-114.4310697,,America/Los_Angeles,-7.0
A30,Scott Valley,Fort Jones,CA,USA,41.55819444,-122.8553103,,America/Los_Angeles,-7.0
A32,Butte Valley,Dorris,CA,USA,41.88709222,-121.9755614,,America/Los_Angeles,-7.0
AAT,Altay Air Base,Alturas,CA,USA,41.483,-120.5653611,U,America/Los_Angeles,-7.0
ACV,California Redwood Coast-Humboldt County Airport,Arcata/Eureka,CA,USA,40.97811528,-124.1086189,A,America/Los_Angeles,-7.0
AJO,Corona Municipal,Corona,CA,USA,33.89765389,-117.60244,,America/Los_Angeles,-7.0
APC,Napa County Airport,Napa,CA,USA,38.21319444,-122.28069440000002,A,America/Los_Angeles,-7.0
APV,Apple Valley,Apple Valley,CA,USA,34.57528944,-117.1861792,,America/Los_Angeles,-7.0
AUN,Auburn Municipal,Auburn,CA,USA,38.95476944,-121.08208059999998,,America/Los_Angeles,-7.0
AVX,Catalina Airport,Avalon,CA,USA,33.40494444,-118.4158611,A,America/Los_Angeles,-7.0
BFL,Meadows Field,Bakersfield,CA,USA,35.43359806,-119.0567681,A,America/Los_Angeles,-7.0
BIH,Eastern Sierra Regional Airport,Bishop,CA,USA,37.37309556,-118.36360890000002,\N,America/Los_Angeles,-7.0
BLH,Blythe Airport,Blythe,CA,USA,33.61916278,-114.7168764,A,America/Los_Angeles,-7.0
BNG,Banning Municipal Airport,Banning,CA,USA,33.92307111,-116.8505756,A,America/Los_Angeles,-7.0
BUR,Bob Hope Airport,Burbank,CA,USA,34.20061917,-118.3584969,A,America/Los_Angeles,-7.0
BWC,Brawley Municipal,Brawley,CA,USA,32.9931,-115.5169325,,America/Los_Angeles,-7.0
C80,New Coalinga Municipal,Coalinga,CA,USA,36.16313889,-120.2938139,,America/Los_Angeles,-7.0
C83,Byron,Byron,CA,USA,37.8284525,-121.6258219,,America/Los_Angeles,-7.0
CCB,Cable Airport,Upland,CA,USA,34.11154056,-117.68758970000002,A,America/Los_Angeles,-7.0
CCR,Buchanan Field,Concord,CA,USA,37.98965639,-122.0568972,A,America/Los_Angeles,-7.0
CEC,Jack Mc Namara Field Airport,Crescent City,CA,USA,41.78015722,-124.2365333,A,America/Los_Angeles,-7.0
CIC,Chico Municipal Airport,Chico,CA,USA,39.79538278,-121.8584231,A,America/Los_Angeles,-7.0
CMA,Cunnamulla Airport,Camarillo,CA,USA,34.21375472,-119.0943264,O,America/Los_Angeles,-7.0
CNO,Chino Airport,Chino,CA,USA,33.97469444,-117.6366111,A,America/Los_Angeles,-7.0
CPM,Compton/Woodley,Compton,CA,USA,33.89001611,-118.2436831,,America/Los_Angeles,-7.0
CRO,Corcoran,Corcoran,CA,USA,36.10245111,-119.5948469,,America/Los_Angeles,-7.0
CRQ,Caravelas Airport,Carlsbad,CA,USA,33.12822222,-117.2802222,S,America/Los_Angeles,-7.0
CXL,Calexico International Airport,Calexico,CA,USA,32.66950333,-115.5133281,A,America/Los_Angeles,-7.0
DAG,Barstow Daggett Airport,Daggett,CA,USA,34.85371333,-116.7866875,\N,America/Los_Angeles,-7.0
DLO,Delano Municipal,Delano,CA,USA,35.74558056,-119.23650390000002,,America/Los_Angeles,-7.0
DVO,Francisco Bangoy International Airport,Novato,CA,USA,38.14351944,-122.5572167,N,America/Los_Angeles,-7.0
EED,Needles Airport,Needles,CA,USA,34.76619444,-114.62329309999998,\N,America/Los_Angeles,-7.0
EKA,Murray Field,Eureka,CA,USA,40.80338889,-124.11279170000002,\N,America/Los_Angeles,-7.0
EMT,San Gabriel Valley Airport,El Monte,CA,USA,34.08600889,-118.0348453,E,America/Los_Angeles,-7.0
F70,French Valley,Murieta/Temecula,CA,USA,33.57605556,-117.1279722,,America/Los_Angeles,-7.0
FAT,Fresno Yosemite International Airport,Fresno,CA,USA,36.77619444,-119.7181389,A,America/Los_Angeles,-7.0
FCH,Fresno-Chandler Downtown,Fresno,CA,USA,36.732365,-119.8198961,,America/Los_Angeles,-7.0
